"BehaviorSpace results (NetLogo 6.2.0)"
"Projet_IA.nlogo"
"experiment go-ahead [0 .1 1]"
"03/28/2021 11:43:38:619 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11"
"nb-turtle","4",,"4",,"4",,"4",,"4",,"4",,"4",,"4",,"4",,"4",,"4",
"go-ahead","0",,"0.1",,"0.2",,"0.3",,"0.4",,"0.5",,"0.6",,"0.7",,"0.8",,"0.9",,"1",
"p","0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",
"[reporter]","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi"
"[final]","55.865","100","58.7225","100","55.265","100","55.8525","100","56.11","100","56.5975","100","55.6","100","54.5425","100","54.96","100","56.895","100","54.49","100"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","55.865","100","58.7225","100","55.265","100","55.8525","100","56.11","100","56.5975","100","55.6","100","54.5425","100","54.96","100","56.895","100","54.49","100"
"[mean]","34.64274752475247","50","35.3154702970297","50","34.48240099009901","50","34.637896039603945","50","34.61975247524753","50","34.53608910891088","50","34.60143564356435","50","34.8611386138614","50","34.98804455445544","50","35.497896039603965","50","34.63141089108911","50"
"[steps]","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"

"[all run data]","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
,"1.99","2","1.99","2","1.99","2","1.99","2","1.99","2","1.99","2","1.99","2","1.99","2","1.99","2","1.99","2","1.99","2"
,"2.97","3","2.97","3","2.97","3","2.97","3","2.97","3","2.97","3","2.97","3","2.97","3","2.97","3","2.97","3","2.97","3"
