"BehaviorSpace results (NetLogo 6.2.0)"
"Projet_IA.nlogo"
"experiment p [0.005 0.005 1]"
"03/09/2021 15:13:44:560 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193","194","195","196","197","198","199","200"
"nb-turtle","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"go-ahead","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"p","0.005","0.01","0.015","0.02","0.025","0.03","0.035","0.04","0.045","0.05","0.055","0.06","0.065","0.07","0.075","0.08","0.085","0.09","0.095","0.1","0.105","0.11","0.115","0.12","0.125","0.13","0.135","0.14","0.145","0.15","0.155","0.16","0.165","0.17","0.175","0.18","0.185","0.19","0.195","0.2","0.205","0.21","0.215","0.22","0.225","0.23","0.235","0.24","0.245","0.25","0.255","0.26","0.265","0.27","0.275","0.28","0.285","0.29","0.295","0.3","0.305","0.31","0.315","0.32","0.325","0.33","0.335","0.34","0.345","0.35","0.355","0.36","0.365","0.37","0.375","0.38","0.385","0.39","0.395","0.4","0.405","0.41","0.415","0.42","0.425","0.43","0.435","0.44","0.445","0.45","0.455","0.46","0.465","0.47","0.475","0.48","0.485","0.49","0.495","0.5","0.505","0.51","0.515","0.52","0.525","0.53","0.535","0.54","0.545","0.55","0.555","0.56","0.565","0.57","0.575","0.58","0.585","0.59","0.595","0.6","0.605","0.61","0.615","0.62","0.625","0.63","0.635","0.64","0.645","0.65","0.655","0.66","0.665","0.67","0.675","0.68","0.685","0.69","0.695","0.7","0.705","0.71","0.715","0.72","0.725","0.73","0.735","0.74","0.745","0.75","0.755","0.76","0.765","0.77","0.775","0.78","0.785","0.79","0.795","0.8","0.805","0.81","0.815","0.82","0.825","0.83","0.835","0.84","0.845","0.85","0.855","0.86","0.865","0.87","0.875","0.88","0.885","0.89","0.895","0.9","0.905","0.91","0.915","0.92","0.925","0.93","0.935","0.94","0.945","0.95","0.955","0.96","0.965","0.97","0.975","0.98","0.985","0.99","0.995","1"
"[reporter]","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi","igi"
"[final]","53.14","54.755","51.9275","56.3875","56.885","53.68","58.3975","55.835","53.82","54.78","53.57","53.0425","55.5075","55.27","56.84","56.81","57.3625","56.9675","54.79","53.4775","53.98","55.04","54.615","56.97","58.7225","51.6925","53.9075","53.75","56.5475","54.025","52.3575","57.9725","52.64","59.16","54.07","53.6975","51.8775","53.73","57.425","52.3875","53.4375","55.445","54.54","55.54","53.0375","55.475","54.0675","52.64","56.2675","55.2025","54.515","53.0125","53.115","54.1775","52.9175","54.86","51.8525","54.165","57.385","55.415","55.605","58.5025","56.385","59.7725","52","61.2","53.6675","54.5","55.7425","54.0325","52.11","53.845","55.555","56.065","59.4425","54.105","56.5675","54.9425","53.3725","54.9025","55.035","54.45","56.1275","60.04","54.745","54.6625","55.8175","51.305","54.19","53.0925","55.8575","57.9225","53.98","52.595","53.5725","52.53","56.4975","54.235","60.225","54.3075","52.68","51.9","53.0975","53.7875","53.8875","56.6875","52.645","54.92","52.9275","53.635","53.6475","54.1225","56.6225","54.53","54.305","54.4975","56.3325","55.6975","54.3125","59.3525","56.39","56.0425","52.89","55.3375","53.925","54.735","56.55","59.7125","58.3975","52.5125","55.8375","56.495","56.0575","55.855","54.1475","53.465","52.6975","52.345","56.72","51.5175","54.1075","52.615","54.875","54.145","54.615","56.4675","54.9225","53.285","54.39","53.83","54.9875","53.82","53.065","55.6325","54.78","54.275","52.27","55.705","54.48","55.5825","55.2025","55.1","54.7475","55.5525","56.475","55.745","52.6325","52.33","63.46","54.4275","53.635","52.12","56.495","53.7825","52.2575","53.455","56.7475","53.37","51.8775","55.4","54.945","53.6825","52.755","57.5325","53.6825","52.515","51.77","56.725","53.005","51.9125","55.6925","52.88","55.9675","53.085","52.8325","54.955","54.7975","53.275","53.9275","80.57"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","53.14","54.755","51.9275","56.3875","56.885","53.68","58.3975","55.835","53.82","54.78","53.57","53.0425","55.5075","55.27","56.84","56.81","57.3625","56.9675","54.79","53.4775","53.98","55.04","54.615","56.97","58.7225","51.6925","53.9075","53.75","56.5475","54.025","52.3575","57.9725","52.64","59.16","54.07","53.6975","51.8775","53.73","57.425","52.3875","53.4375","55.445","54.54","55.54","53.0375","55.475","54.0675","52.64","56.2675","55.2025","54.515","53.0125","53.115","54.1775","52.9175","54.86","51.8525","54.165","57.385","55.415","55.605","58.5025","56.385","59.7725","52","61.2","53.6675","54.5","55.7425","54.0325","52.11","53.845","55.555","56.065","59.4425","54.105","56.5675","54.9425","53.3725","54.9025","55.035","54.45","56.1275","60.04","54.745","54.6625","55.8175","51.305","54.19","53.0925","55.8575","57.9225","53.98","52.595","53.5725","52.53","56.4975","54.235","60.225","54.3075","52.68","51.9","53.0975","53.7875","53.8875","56.6875","52.645","54.92","52.9275","53.635","53.6475","54.1225","56.6225","54.53","54.305","54.4975","56.3325","55.6975","54.3125","59.3525","56.39","56.0425","52.89","55.3375","53.925","54.735","56.55","59.7125","58.3975","52.5125","55.8375","56.495","56.0575","55.855","54.1475","53.465","52.6975","52.345","56.72","51.5175","54.1075","52.615","54.875","54.145","54.615","56.4675","54.9225","53.285","54.39","53.83","54.9875","53.82","53.065","55.6325","54.78","54.275","52.27","55.705","54.48","55.5825","55.2025","55.1","54.7475","55.5525","56.475","55.745","52.6325","52.33","63.46","54.4275","53.635","52.12","56.495","53.7825","52.2575","53.455","56.7475","53.37","51.8775","55.4","54.945","53.6825","52.755","57.5325","53.6825","52.515","51.77","56.725","53.005","51.9125","55.6925","52.88","55.9675","53.085","52.8325","54.955","54.7975","53.275","53.9275","80.57"
"[mean]","34.353465346534655","34.73064356435645","33.815668316831676","35.09705445544553","35.0319306930693","34.11042079207921","34.99269801980198","34.49480198019803","33.90440594059406","34.22524752475248","34.04507425742576","34.006262376237615","35.14576732673268","34.93715346534653","35.48128712871287","34.497920792079206","35.378564356435646","34.43069306930693","34.490297029702965","34.19497524752474","33.973960396039594","34.50470297029703","34.18712871287128","34.79725247524752","36.09455445544554","33.83123762376238","35.05361386138614","34.10358910891089","34.79737623762377","34.12527227722774","33.97982673267327","34.60925742574256","33.785198019801975","35.2650495049505","33.96824257425744","34.46804455445545","33.72868811881188","34.09007425742575","35.1384900990099","33.80829207920793","33.9008910891089","34.26361386138614","34.482178217821776","34.227103960396036","34.444183168316854","35.183044554455435","34.17782178217822","33.779084158415834","35.14403465346534","34.504628712871295","34.61678217821783","34.01123762376238","33.85282178217822","34.02757425742573","33.83002475247524","34.56722772277229","33.72710396039605","34.24727722772276","34.66730198019802","34.45094059405941","34.63571782178218","36.2894801980198","34.98264851485148","35.54868811881188","34.11277227722773","35.25455445544556","33.87754950495048","34.318094059405944","35.43287128712871","34.04200495049505","34.12146039603961","33.9681188118812","34.677871287128696","34.811856435643556","36.22779702970297","34.29849009900991","34.71438118811881","33.97326732673267","33.9025495049505","34.781113861386146","35.07118811881188","34.45584158415843","35.130569306930695","35.087425742574254","34.38787128712871","34.61920792079209","34.41138613861387","33.68665841584159","34.300346534653464","34.05084158415842","34.94269801980199","35.409084158415844","34.11423267326733","33.660940594059404","34.128787128712865","33.70566831683169","34.79519801980199","34.57430693069307","35.51000000000001","34.27621287128715","34.12571782178218","33.76925742574258","34.05111386138615","34.51393564356435","34.339331683168325","34.8351485148515","33.903366336633674","34.79658415841584","33.89972772277228","34.038415841584175","34.103193069306926","34.50403465346535","34.552772277227724","34.210940594059416","34.10809405940595","34.28252475247525","34.6365099009901","34.593589108910884","34.26851485148515","36.43027227722772","34.789529702970285","34.59440594059407","33.77242574257426","34.59881188118811","34.0259405940594","34.00519801980198","34.84014851485149","34.8524504950495","34.77017326732673","33.69819306930693","34.54455445544555","35.232400990099016","34.85163366336634","34.6975","34.61537128712872","34.00274752475248","33.86930693069308","33.82839108910891","35.041782178217815","33.81094059405941","33.86509900990099","33.982574257425746","34.461955445544554","34.19784653465346","34.441683168316835","34.21051980198021","34.22532178217822","34.15841584158415","34.38532178217821","34.495594059405946","34.22116336633664","34.525445544554465","33.93076732673267","34.88482673267327","34.484975247524766","33.98460396039604","33.71972772277228","34.74715346534652","34.182252475247516","34.71638613861387","34.60930693069308","34.274455445544554","34.19831683168317","34.805","34.47420792079207","34.77985148514851","34.135346534653465","33.843886138613854","36.59341584158417","35.037301980198016","34.35163366336634","33.85737623762376","34.99948019801981","34.08745049504951","33.91336633663367","33.79544554455446","34.64185643564356","34.16772277227722","33.77017326732672","34.83670792079208","34.199306930693076","34.12408415841584","34.03059405940595","35.884108910891094","34.06388613861386","33.92024752475248","33.63366336633664","35.00957920792079","34.35101485148514","33.88341584158416","34.76470297029704","34.00794554455445","34.80381188118811","34.30037128712871","33.996980198019806","34.294133663366345","35.167673267326734","33.99584158415843","34.61381188118812","41.38076732673266"
"[steps]","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"

